"Rok","Liczba zachorowań","ASW","ASE","Wsp. surowy","Ryzyko skumulowane"
"2000","4053","15.12","22.93","20.56","2.03"
"2001","4056","15.14","22.64","20.57","1.98"
"2002","4152","15.37","22.91","21.06","2.00"
"2003","3907","14.32","21.55","19.83","1.90"
"2004","3907","14.19","21.15","19.83","1.84"
"2005","3929","14.26","21.08","19.94","1.83"
"2006","3824","13.74","20.59","19.41","1.82"
"2007","4268","15.19","22.59","21.67","1.96"
"2008","4194","15.03","21.96","21.28","1.90"
"2009","4089","14.53","21.31","20.72","1.84"
"2010","3933","13.78","20.21","19.79","1.74"
"2011","3819","13.24","19.51","19.21","1.69"
"2012","3685","12.57","18.53","18.53","1.63"
"2013","3688","12.55","18.55","18.56","1.63"
"2014","3561","11.87","17.77","17.93","1.57"
"2015","3532","11.85","17.38","17.80","1.53"
"2016","3294","10.92","16.23","16.61","1.44"
"2017","3358","11.33","16.34","16.93","1.44"
"2018","3349","11.34","16.16","16.89","1.42"
"2019","3636","12.63","17.46","18.35","1.52"
"2020","3043","10.80","14.68","15.37","1.26"
"2021","3284","11.73","15.95","16.73","1.38"
"2022","3515","12.61","17.14","17.98","1.46"
"2023","3417","12.01","16.58","17.54","1.43"
