"Rok","00-04","05-09","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"2000","0","0","0","1","12","58","118","245","539","759","655","331","333","352","289","206","93","62"
"2001","0","0","1","0","18","63","176","239","516","768","602","362","342","326","290","223","85","45"
"2002","0","0","0","2","16","73","134","267","524","753","708","395","337","301","281","199","111","51"
"2003","0","0","0","3","9","69","172","246","418","694","617","435","290","321","270","193","110","60"
"2004","0","0","0","0","12","69","147","245","419","703","669","462","272","294","260","190","124","41"
"2005","0","0","0","0","15","90","178","250","405","654","658","556","265","267","230","193","117","51"
"2006","0","0","1","4","18","72","189","232","374","572","608","531","331","262","236","187","145","62"
"2007","0","0","0","0","11","92","214","294","395","544","728","712","365","262","240","234","119","58"
"2008","0","0","0","2","26","126","235","290","373","545","672","653","423","236","222","191","137","63"
"2009","0","0","0","1","23","100","251","309","360","501","682","608","391","244","240","195","114","70"
"2010","0","0","0","1","25","127","228","309","325","433","558","641","459","238","239","183","101","66"
"2011","0","0","0","3","14","135","210","290","313","389","523","617","475","289","206","170","123","62"
"2012","1","0","0","0","28","146","235","291","298","307","453","572","515","270","191","176","121","81"
"2013","0","0","0","1","21","131","241","307","314","329","432","518","492","314","200","184","119","85"
"2014","0","0","0","3","24","110","214","267","297","305","371","530","503","356","192","200","99","90"
"2015","0","0","0","0","28","128","282","306","299","276","353","472","469","379","184","163","115","78"
"2016","0","0","0","1","25","119","196","246","303","300","282","397","482","372","221","139","126","85"
"2017","0","0","0","2","37","155","291","298","281","286","275","367","433","381","218","147","105","82"
"2018","0","0","0","1","35","182","263","307","325","273","260","333","433","382","229","128","112","86"
"2019","0","0","0","5","51","209","354","365","357","324","246","327","417","416","249","130","103","83"
"2020","0","0","0","3","50","179","294","325","319","264","258","236","340","323","205","115","70","62"
"2021","0","0","0","5","36","215","302","377","325","321","244","257","345","319","242","127","93","76"
"2022","0","0","0","0","40","185","356","408","390","343","266","290","353","338","247","161","64","74"
"2023","0","1","0","2","31","153","302","379","398","352","279","244","309","375","265","163","90","74"
