"Rok","Liczba zgonów","ASW","ASE","Wsp. surowy","Ryzyko skumulowane"
"2000","1987","6.82","12.01","10.08","1.20"
"2001","1826","6.08","10.75","9.26","1.08"
"2002","1855","6.16","10.89","9.41","1.11"
"2003","1825","5.99","10.59","9.26","1.07"
"2004","1819","5.93","10.34","9.23","1.02"
"2005","1796","5.68","10.01","9.12","1.00"
"2006","1824","5.64","10.15","9.26","1.03"
"2007","1907","5.86","10.55","9.68","1.08"
"2008","1745","5.29","9.52","8.85","0.97"
"2009","1748","5.28","9.41","8.86","0.95"
"2010","1735","5.13","9.20","8.73","0.93"
"2011","1656","4.84","8.73","8.33","0.88"
"2012","1669","4.83","8.66","8.39","0.87"
"2013","1672","4.64","8.53","8.42","0.87"
"2014","1628","4.46","8.30","8.20","0.85"
"2015","1585","4.20","7.95","7.99","0.85"
"2016","1570","4.08","7.84","7.92","0.84"
"2017","1609","4.24","7.90","8.11","0.82"
"2018","1593","4.05","7.71","8.03","0.82"
"2019","1569","3.92","7.53","7.92","0.80"
"2020","1511","3.69","7.18","7.63","0.77"
"2021","1361","3.46","6.47","6.93","0.67"
"2022","1374","3.38","6.53","7.03","0.70"
"2023","1401","3.45","6.63","7.19","0.71"
