"Rok","00-04","05-09","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"2000","0","0","0","0","4","10","24","71","186","259","253","172","225","218","220","183","93","69"
"2001","0","0","0","0","0","10","22","65","159","271","265","136","152","184","226","184","90","62"
"2002","0","0","0","0","2","4","29","61","158","249","282","158","182","173","210","156","117","74"
"2003","0","0","0","0","1","7","20","53","141","228","270","215","159","209","172","169","124","57"
"2004","0","0","0","0","0","5","23","49","140","250","273","215","158","183","183","176","111","53"
"2005","0","0","0","0","0","7","23","52","107","222","287","262","125","171","194","165","130","51"
"2006","0","0","0","0","3","4","24","47","95","190","288","273","160","166","178","174","154","68"
"2007","0","0","0","0","1","6","23","43","104","181","284","304","191","176","179","172","152","91"
"2008","0","0","0","0","0","8","16","43","73","175","247","278","205","160","150","171","139","80"
"2009","0","0","0","0","2","5","22","34","78","155","280","276","201","173","160","149","134","79"
"2010","0","0","0","0","1","5","16","51","72","139","272","272","217","155","158","158","134","85"
"2011","0","0","0","0","1","2","22","46","70","126","216","271","229","153","156","167","110","87"
"2012","0","0","0","0","2","4","18","41","76","127","193","285","252","161","150","144","127","89"
"2013","0","0","0","0","1","4","15","42","70","88","187","275","283","177","133","167","131","99"
"2014","0","0","0","0","0","4","13","32","56","96","167","253","244","226","155","140","137","105"
"2015","0","0","0","0","2","3","12","39","68","94","118","220","257","217","131","143","136","145"
"2016","0","0","0","0","0","4","9","30","47","91","131","224","244","211","161","129","143","146"
"2017","0","0","0","1","2","6","17","36","59","80","137","210","267","249","165","122","116","142"
"2018","0","0","0","0","1","5","10","49","58","87","103","170","269","252","183","130","130","146"
"2019","0","0","0","0","3","1","19","32","55","72","117","162","236","285","190","133","120","144"
"2020","0","0","0","0","1","1","12","43","42","79","98","167","224","241","201","128","124","150"
"2021","0","0","0","0","0","5","18","36","55","79","89","132","201","248","186","104","94","114"
"2022","0","0","0","0","3","3","19","35","44","81","90","111","201","205","209","130","102","141"
"2023","0","0","0","0","0","3","21","38","50","75","113","115","187","211","205","146","118","119"
